('10/18/2011', ('HARRASSMENT 2', '40.82681201', '-73.920923807', 'Yankees', 'not_gameday'))
('10/18/2011', ('PETIT LARCENY', '40.829330897', '-73.9238694', 'Yankees', 'not_gameday'))
('10/18/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.831578538', '-73.927697229', 'Yankees', 'not_gameday'))
('10/18/2011', ('PETIT LARCENY', '40.826284877', '-73.920707634', 'Yankees', 'not_gameday'))
('10/18/2011', ('OFF. AGNST PUB ORD SENSBLTY &', '40.832895381', '-73.926716496', 'Yankees', 'not_gameday'))
('10/18/2011', ('DANGEROUS DRUGS', '40.832151923', '-73.927284653', 'Yankees', 'not_gameday'))
('10/18/2011', ('GRAND LARCENY', '40.755344758', '-73.843246598', 'Mets', 'not_gameday'))
('10/18/2011', ('DANGEROUS DRUGS', '40.830151831', '-73.928573248', 'Yankees', 'not_gameday'))
('10/18/2011', ('PETIT LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'not_gameday'))
('10/18/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.83203302', '-73.92590077', 'Yankees', 'not_gameday'))
('10/18/2011', ('CRIMINAL MISCHIEF & RELATED OF', '40.829685886', '-73.921155267', 'Yankees', 'not_gameday'))
('02/10/2010', ('FRAUDS', '40.832741241', '-73.921870763', 'Yankees', 'not_gameday'))
('02/10/2010', ('FELONY ASSAULT', '40.82752009', '-73.92494464', 'Yankees', 'not_gameday'))
('02/10/2010', ('PETIT LARCENY', '40.826725409', '-73.922737797', 'Yankees', 'not_gameday'))
('02/19/2012', ('PETIT LARCENY', '40.827724143', '-73.922227151', 'Yankees', 'not_gameday'))
('02/19/2012', ('BURGLARY', '40.831854352', '-73.921362286', 'Yankees', 'not_gameday'))
('02/19/2012', ('PETIT LARCENY', '40.833193979', '-73.930214204', 'Yankees', 'not_gameday'))
('02/19/2012', ('DANGEROUS WEAPONS', '40.827819901', '-73.925930756', 'Yankees', 'not_gameday'))
('02/19/2012', ('GRAND LARCENY', '40.830702032', '-73.922039379', 'Yankees', 'not_gameday'))
('07/18/2011', ('GRAND LARCENY', '40.827385306', '-73.924496737', 'Yankees', 'gameday'))
('07/18/2011', ('PETIT LARCENY', '40.827385306', '-73.924496737', 'Yankees', 'gameday'))
('07/18/2011', ('PETIT LARCENY', '40.75973906', '-73.84121122', 'Mets', 'gameday'))
('07/18/2011', ('OFFENSES AGAINST PUBLIC ADMINI', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('07/18/2011', ('FELONY ASSAULT', '40.826284877', '-73.920707634', 'Yankees', 'gameday'))
('07/18/2011', ('FELONY ASSAULT', '40.826284877', '-73.920707634', 'Yankees', 'gameday'))
('07/05/2010', ('FELONY ASSAULT', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('07/05/2010', ('FELONY ASSAULT', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('07/05/2010', ('CRIMINAL TRESPASS', '40.831578538', '-73.927697229', 'Yankees', 'gameday'))
('07/05/2010', ('ASSAULT 3 & RELATED OFFENSES', '40.754049569', '-73.847584518', 'Mets', 'gameday'))
('07/05/2010', ('ASSAULT 3 & RELATED OFFENSES', '40.75973906', '-73.84121122', 'Mets', 'gameday'))
('04/11/2015', ('PETIT LARCENY', '40.829685886', '-73.921155267', 'Yankees', 'gameday'))
('04/11/2015', ('HARRASSMENT 2', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('04/11/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('04/11/2015', ('PETIT LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
