,Year,Borough,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 35 to 44 years,Male; Estimate; Population 35 to 44 years,Total; Estimate; Population 25 to 34 years,Male; Estimate; Population 25 to 34 years,Total; Estimate; Population 45 to 64 years,Male; Estimate; Population 45 to 64 years
0,2005,Bronx,122991,195015,89029,194187,89370,274667,120840
1,2005,Brooklyn,224621,356945,166632,362545,173825,564332,254497
2,2005,Manhattan,106109,282192,142854,307777,145196,369002,171848
3,2005,Queens,185038,365849,183961,336242,169607,548419,259001
4,2005,Staten Island,37681,72178,35159,63438,31849,119118,57056
5,2006,Bronx,144378,200898,93548,195849,92649,287334,128150
6,2006,Brooklyn,251584,361069,170314,357208,172149,581664,264157
7,2006,Manhattan,138996,300515,153618,305939,145140,385264,182244
8,2006,Queens,201903,367613,185676,320508,161588,565811,269452
9,2006,Staten Island,45657,74333,36644,61078,29390,125538,60110
10,2007,Bronx,147773,200551,93827,199640,95008,294268,131357
11,2007,Brooklyn,258123,364708,172476,366399,177894,594358,271849
12,2007,Manhattan,141457,310419,157755,302184,144159,389853,186370
13,2007,Queens,207142,371347,187405,323506,163862,582545,279281
14,2007,Staten Island,47210,72390,35633,61140,29858,129177,62250
15,2008,Bronx,153046,198551,92303,201400,96814,302718,135688
16,2008,Brooklyn,260606,364589,172847,366944,178685,608460,278284
17,2008,Manhattan,141667,316182,160117,292328,139879,397045,190809
18,2008,Queens,210365,368597,186002,316179,160116,600039,289274
19,2008,Staten Island,47430,72749,36387,62110,30244,132122,63428
20,2009,Bronx,149652,192660,88952,199869,96829,318620,143329
21,2009,Brooklyn,239176,349066,165136,439029,215114,606214,276464
22,2009,Manhattan,145068,266495,131996,351058,166117,398921,192679
23,2009,Queens,192097,349177,176332,369957,185757,600726,290731
24,2009,Staten Island,43942,70889,35418,65348,32972,136741,65875
25,2010,Bronx,161687,186631,86158,203592,94525,320065,144193
26,2010,Brooklyn,265755,340509,161722,426999,204356,592969,269563
27,2010,Manhattan,181157,233362,117063,341446,161044,381592,181178
28,2010,Queens,218508,325805,162298,362275,180273,579005,274879
29,2010,Staten Island,44389,65697,32003,59990,29818,130841,62466
30,2011,Bronx,162580,183550,84570,204677,96249,323809,146699
31,2011,Brooklyn,260993,344343,163818,438072,210205,599185,272827
32,2011,Manhattan,170710,234802,118120,353989,166978,386280,184500
33,2011,Queens,213192,324259,161783,366509,183289,589393,280913
34,2011,Staten Island,44610,64378,31207,60204,29963,132208,63173
35,2012,Bronx,166397,183595,84632,207607,98027,328656,148752
36,2012,Brooklyn,259288,350634,167204,449002,216284,602291,274706
37,2012,Manhattan,164183,237455,119405,363899,171644,386259,185435
38,2012,Queens,214397,326492,163156,369719,184800,595628,284582
39,2012,Staten Island,44780,63280,30331,59829,29832,131860,62922
40,2013,Bronx,165712,182371,84655,212981,101611,334017,151799
41,2013,Brooklyn,253334,357487,171425,460546,222149,605529,276852
42,2013,Manhattan,157610,238981,119670,370836,175287,389067,187583
43,2013,Queens,210991,329594,164945,373939,187617,604111,288962
44,2013,Staten Island,44921,62503,30164,60112,29785,132065,62952
45,2014,Bronx,164388,184159,84641,220343,105770,340782,154084
46,2014,Brooklyn,246937,363495,173984,472605,228191,610022,279289
47,2014,Manhattan,157010,239220,119351,371623,175114,392870,189931
48,2014,Queens,208044,332358,165819,378829,189072,613524,294203
49,2014,Staten Island,43584,61957,29847,61201,30783,132935,63931
50,2015,Bronx,161097,185579,85237,227716,109778,345953,157913
51,2015,Brooklyn,238184,366974,175602,481134,232718,611890,281019
52,2015,Manhattan,154582,240170,119482,374156,177561,395289,192093
53,2015,Queens,201301,332691,165263,381459,190438,621499,299551
54,2015,Staten Island,42079,61476,29858,62259,31314,132759,63441
